epoch accuracy precision recall F1-score       0       1       2       0       1       2       0       1       2
    1   33.704    32.157 30.696   30.735  36.962   9.045  50.463  47.712   9.326  35.048  41.655   9.184  41.366
    2   45.556    38.984 40.166   35.996  43.651  25.000  48.301  53.922   2.591  63.987  48.246   4.695  55.048
    3   50.247    33.874 43.875   37.252  52.555   0.000  49.067  47.059   0.000  84.566  49.655   0.000  62.102
    4   48.519    36.098 42.290   34.407  63.158   0.000  45.137  31.373   0.000  95.498  41.921   0.000  61.300
    5   46.296    39.838 40.317   31.588  77.174   0.000  42.340  23.203   0.000  97.749  35.678   0.000  59.086
    6   45.432    42.062 39.548   30.166  84.507   0.000  41.678  19.608   0.000  99.035  31.830   0.000  58.667
    7   45.062    42.974 39.219   29.579  87.500   0.000  41.421  18.301   0.000  99.357  30.270   0.000  58.467
    8   44.444    43.990 38.673   28.621  90.909   0.000  41.060  16.340   0.000  99.678  27.701   0.000  58.161
    9   45.185    77.091 39.518   30.216  89.831 100.000  41.444  17.320   1.554  99.678  29.041   3.061  58.546
   10   49.506    77.985 45.307   40.466  90.476 100.000  43.478  18.627  17.617  99.678  30.894  29.956  60.547
   11   60.988    81.401 60.734   59.257  94.444 100.000  49.758  22.222  60.622  99.357  35.979  75.484  66.309
   12   69.753    84.482 72.422   69.282  97.468 100.000  55.978  25.163  92.746  99.357  40.000  96.237  71.611
   13   72.840    84.830 75.978   72.916  95.789 100.000  58.700  29.739  99.482  98.714  45.387  99.740  73.621
   14   73.333    84.729 76.479   73.570  95.000 100.000  59.188  31.046 100.000  98.392  46.798 100.000  73.913
   15   73.086    84.331 76.263   73.326  94.000 100.000  58.994  30.719 100.000  98.071  46.305 100.000  73.671
   16   73.333    84.176 76.483   73.701  93.269 100.000  59.259  31.699 100.000  97.749  47.317 100.000  73.786
   17   73.951    84.225 77.029   74.525  92.793 100.000  59.881  33.660 100.000  97.428  49.400 100.000  74.174
   18   73.704    84.102 76.811   74.222  92.661 100.000  59.646  33.007 100.000  97.428  48.675 100.000  73.993
   19   73.827    83.690 76.924   74.493  91.228 100.000  59.841  33.987 100.000  96.785  49.524 100.000  73.956
   20   75.309    84.456 78.231   76.255  92.063 100.000  61.303  37.908 100.000  96.785  53.704 100.000  75.062
   21   75.679    84.643 78.558   76.686  92.248 100.000  61.680  38.889 100.000  96.785  54.713 100.000  75.344
   22   77.160    85.381 79.865   78.369  92.908 100.000  63.235  42.810 100.000  96.785  58.613 100.000  76.493
   23   78.519    86.051 81.063   79.862  93.421 100.000  64.731  46.405 100.000  96.785  62.009 100.000  77.577
   24   79.383    86.477 81.826   80.790  93.711 100.000  65.721  48.693 100.000  96.785  64.086 100.000  78.283
   25   80.247    87.218 82.585   81.641  95.062 100.000  66.593  50.327 100.000  97.428  65.812 100.000  79.112
