epoch accuracy precision recall F1-score 0 1 2 3 4 0 1 2 3 4 0 1 2 3 4
    1   20.339     24.39 20.152   14.983 33.333 0.0 66.667 21.951 0.0 9.091 0.0 16.667 75.0 0.0 14.286 0.0 26.667 33.962 0.0
    2   23.729    24.528 23.485   13.319 50.0 0.0 50.0 22.642 0.0 9.091 0.0 8.333 100.0 0.0 15.385 0.0 14.286 36.923 0.0
    3   27.119    26.615 26.818   17.636 50.0 0.0 60.0 23.077 0.0 9.091 0.0 25.0 100.0 0.0 15.385 0.0 35.294 37.5 0.0
    4   23.729    19.455 23.333   15.873 0.0 20.0 50.0 27.273 0.0 0.0 58.333 8.333 50.0 0.0 0.0 29.787 14.286 35.294 0.0
    5   20.339     4.068   20.0    6.761 0.0 20.339 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 33.803 0.0 0.0 0.0
    6   27.119    13.689 26.667   15.361 0.0 24.0 44.444 0.0 0.0 0.0 100.0 33.333 0.0 0.0 0.0 38.71 38.095 0.0 0.0
    7   28.814    11.383 28.333   16.233 0.0 21.429 35.484 0.0 0.0 0.0 50.0 91.667 0.0 0.0 0.0 30.0 51.163 0.0 0.0
    8   23.729    11.195 23.333   11.829 0.0 33.333 22.642 0.0 0.0 0.0 16.667 100.0 0.0 0.0 0.0 22.222 36.923 0.0 0.0
    9   20.339     4.068   20.0    6.761 0.0 0.0 20.339 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 33.803 0.0 0.0
   10   20.339     4.068   20.0    6.761 0.0 0.0 20.339 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 33.803 0.0 0.0
   11   20.339     4.068   20.0    6.761 0.0 0.0 20.339 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 33.803 0.0 0.0
   12   20.339     4.068   20.0    6.761 0.0 0.0 20.339 0.0 0.0 0.0 0.0 100.0 0.0 0.0 0.0 0.0 33.803 0.0 0.0
   13   25.424    32.615 25.303   15.577 40.0 0.0 23.077 0.0 100.0 18.182 0.0 100.0 0.0 8.333 25.0 0.0 37.5 0.0 15.385
   14   30.508    31.187 30.606   20.925 26.667 0.0 29.268 0.0 100.0 36.364 0.0 100.0 0.0 16.667 30.769 0.0 45.283 0.0 28.571
   15   27.119    28.039  26.97   18.333 66.667 50.0 23.529 0.0 0.0 18.182 16.667 100.0 0.0 0.0 28.571 25.0 38.095 0.0 0.0
